x;y;z
-0.0207438;0.303845;0.654029
0.200272;0.0230288;0.103919
0.451802;-0.0398134;-0.419019
0.318234;0.31756;0.667076
-0.151997;0.00843003;0.036196
-0.410213;0.859904;0.16433
-0.107689;-0.0140568;0.356371
0.0772998;-0.255307;0.411615
0.0593635;0.557154;0.429519
-0.179957;-0.257456;-0.0642536
-0.0112302;0.0408638;-0.353658
-0.0531166;0.0326861;-0.192895
-0.238069;-0.0554616;-0.0153726
0.1186;-0.200932;0.352342
0.0186954;-0.242356;0.318887
-0.198365;-0.10348;0.0581872
-0.0488295;-0.0914177;0.195779
-0.249423;-0.053121;-0.351177
0.278318;0.107826;-0.0411442
0.0275264;-0.201832;-0.0583973
0.0127431;-0.165233;0.356563
0.0446096;-0.191132;0.169678
-0.0599604;0.0418081;-0.257038
0.263205;0.1201;-0.0987047
-0.278796;0.0918364;-0.688322
-0.0677607;-0.198638;-0.304762
-0.0464506;0.0119711;-0.18917
-0.11931;-0.202782;-0.416691
-0.258462;0.557496;0.472437
-0.0773718;0.665846;0.33521
-0.102734;0.0165387;-0.09214
0.0950551;0.0592525;-0.48098
-0.103815;0.0314131;-0.354765
0.132878;-0.114609;-0.361258
-0.00428531;-0.110632;0.102398
-0.0540303;0.0894109;-0.769132
0.0622026;-0.104215;0.282364
-0.0931901;-0.193393;0.407474
-0.22734;0.0429015;-0.600983
0.216457;0.106951;0.822177
-0.16356;-0.220219;-0.0841401
-0.154841;-0.0538554;-0.0264284
0.108955;-0.244564;0.400991
-0.0394567;0.0696467;-0.156672
-0.235526;-0.256097;-0.0617736
0.14947;0.0693148;0.0625651
0.292293;-0.132745;0.185794
0.039941;-0.13267;-0.118555
-0.314165;0.00638383;-0.257465
0.0113612;0.0166059;-0.0952858
0.129208;-0.131025;-0.0465602
-0.315286;-0.0210855;-0.457831
0.0997104;0.0561149;-0.0961263
0.304028;-0.0722127;-0.263636
0.0615621;-0.12148;0.0885784
-0.0199398;0.442446;0.563141
0.185525;0.0755974;-0.403642
