x;y;z
-0.00163533;0.00333049;-0.00248412
0.000909012;-0.0199126;-0.0207018
0.00224468;-0.00690923;0.000439805
-0.00088878;0.000624299;-0.00279228
0.00147009;0.000270954;0.0063255
0.000413492;-0.0178577;-0.02014
0.00420556;-0.00841944;0.00594648
0.000767293;0.00468769;0.011182
-4.01215e-05;-0.00114551;-0.00163607
0.0141905;-0.0179717;0.0328633
3.98744e-05;-0.00254708;-0.00145454
-0.000749832;-0.00751258;-0.0115954
0.00196362;0.00636357;0.0152873
0.00175981;0.00543952;0.0134843
-0.000343882;0.00450807;0.00395523
0.0003809;0.000893903;0.0020932
-0.000534533;-0.00296587;-0.00592197
-0.00157503;-0.000453675;-0.0058614
-0.00185094;-0.000458963;-0.00703535
0.00177302;-0.00597917;4.07483e-05
-0.00116211;-0.0163659;-0.0245404
0.00128113;0.00372759;0.00882535
-0.00228992;0.000924234;-0.00714906
-0.000336668;0.00862941;0.00940786
-0.000176072;-0.00547285;-0.00653207
-0.00289646;0.000422354;-0.0107993
-0.000957089;-0.00139142;-0.00597788
-0.00332184;-0.00928987;-0.0239825
-0.000942941;0.00918781;0.00610165
0.00510837;-0.00324317;0.0150444
0.00367379;-0.00438308;0.00857749
0.00474484;0.00430281;0.0231917
0.00104756;0.00746031;0.0126876
0.000434423;0.00158939;0.00238055
-0.00220903;0.00948283;0.00268017
0.00227049;0.00187702;0.0106324
-0.00115748;0.0102555;0.00713782
0.0038949;0.00200394;0.0169637
0.00273389;0.00265304;0.0143496
0.00206229;0.0054874;0.0135866
-0.00412005;0.00691976;-0.00758718
-0.00169718;0.00729683;0.00336692
0.000689877;0.0044529;0.0069339
0.0135739;-0.00374811;0.0526953
0.00303955;0.00276149;0.0150987
-0.000654298;-0.00196034;-0.0050005
0.000408068;-0.0094957;-0.00943698
0.00277197;-0.0143352;-0.00729693
0.00226437;0.00204357;0.0109582
-0.000708662;0.00170595;-0.000267864
-0.00155538;0.00127388;-0.00348303
0.00302267;-0.00114655;0.0100212
-0.00209766;0.00151398;-0.00732404
-0.000654818;-9.75929e-05;-0.00239114
-0.000625108;0.00561366;0.0045484
-0.000367421;0.00752882;0.00670466
0.000761158;0.000665743;0.00414765
-0.000285753;0.00852952;0.00943053
-0.00204915;0.00851132;0.0019842
0.00153681;0.00638587;0.0144556
0.000489303;0.00272656;0.00513526
0.00134829;0.000734799;0.0060635
0.00431978;-0.0223364;-0.0110312
-0.000936834;-0.00281477;-0.00855387
0.000462134;0.00167403;0.00406656
-7.65815e-05;-0.00219526;-0.00312009
-0.00120644;0.00351709;-0.000220976
-0.0054815;0.00678849;-0.0119733
-0.0012999;0.00974547;0.00703789
-0.0018539;0.00992379;0.00492981
0.0071806;-0.0129977;0.0113674
-0.00046048;-0.00979664;-0.0141433
0.00495293;-0.0155233;-0.000424853
-0.00235886;-0.00685642;-0.0178794
-0.00425127;0.0160306;0.00187197
0.0010083;0.00281204;0.00687555
-0.000729684;0.00632795;0.0050802
0.000845902;-0.00670667;-0.00488816
-0.00119138;0.00643858;0.00349851
-0.0033074;0.000187858;-0.0128551
0.00569856;-0.0107763;0.00866839
0.000424285;-0.00115481;-0.000147889
-0.00223033;-0.00767782;-0.0170888
-0.00281626;0.00635459;-0.00409414
-0.00159509;-0.000351213;-0.00623678
0.000566839;-0.00921615;-0.00870738
-0.00411226;0.00547498;-0.0100864
0.00132237;-0.00149816;0.00390457
-0.000869604;0.00518294;0.00340456
-0.00046815;0.00739641;0.00658367
-0.00215161;0.00284277;-0.00489743
0.00226786;0.000307731;0.00905845
0.00349555;-0.00876754;0.00265092
-0.00108054;0.00431451;0.000531294
0.00527241;-0.0292823;-0.0149779
-0.00380712;0.0088462;-0.0035922
-0.00245582;0.00803115;0.00119922
-0.00056308;0.00772803;0.00709022
0.000318079;0.00416835;0.0054099
-0.00468033;0.0102533;-0.00622895
-0.000699518;-0.000701649;-0.00409357
-0.00163594;0.00811532;0.00316115
0.00438313;-0.00736758;0.00706374
-0.00124129;0.00782639;0.00515722
0.00152734;0.00424854;0.0104145
0.000661789;-0.00506734;-0.00420178
-0.00172377;0.00613217;-0.000201554
-0.00107155;0.00515575;0.00226615
0.000688344;0.00332019;0.00605349
0.00109291;0.00246691;0.00689793
-0.00146307;-0.000171484;-0.00650602
0.00114987;0.00115279;0.00450159
-0.00347919;-0.0057084;-0.018116
0.000252024;0.00270971;0.00421148
-0.00156446;-0.000415109;-0.00611044
