x;y;z
-6.5733204;9.864085;3.7178457
8.3131;10.446085;-1.8018292
8.063793;10.742169;14.160112
10.163133;8.112405;-0.12532525
-7.2553678;9.5431185;3.943494
11.205359;11.185209;11.589219
11.232369;11.692467;11.521929
8.489176;11.314615;-0.06648502
10.664179;10.759519;10.882975
11.672199;12.884705;11.891021
8.232842;11.164426;-1.2804016
11.111151;9.365939;-1.8303978
11.128987;9.525878;-0.2692307
10.167606;11.268909;-2.5496123
10.595655;9.46093;0.098366134
11.222314;11.213225;13.261748
-7.0445695;9.671261;3.760557
11.426507;12.264147;11.742395
10.458305;7.7910547;-0.30101785
8.869295;11.267814;-2.03089
10.545629;8.535166;0.30842575
-6.7537336;9.633272;3.7093532
10.151056;11.230844;-2.4908266
10.51705;8.64877;0.27286777
9.203043;10.275041;-2.7143683
9.808535;11.206306;1.163568
10.310413;9.609004;12.186049
8.241915;10.269111;13.35097
7.5717573;9.789113;13.583431
11.17566;11.056276;11.466784
8.760667;7.1638703;-3.0310946
8.250185;9.693712;12.8378725
9.582263;7.175481;-1.6417096
9.862774;12.371125;-0.23647162
10.8786545;7.894392;-0.8799025
9.498962;11.016459;-1.5078133
7.57745;11.533852;12.842523
10.015491;9.444231;11.967099
11.479116;11.8261175;12.602205
10.360033;8.309115;-2.4392314
8.241067;9.626161;12.755504
9.900113;7.991464;-2.0688257
9.313788;11.743657;-1.7280027
9.274471;12.48475;14.026454
11.572154;11.289788;12.242357
8.806612;7.212173;-3.0506415
9.100709;7.4343276;-2.6071804
-6.9152737;9.037659;3.7254474
8.929188;12.0641985;-0.8889759
11.616304;12.644219;12.303642
8.55317;11.035686;-2.1362417
9.469127;7.313532;-1.6050674
9.585771;8.8868;-3.0731127
9.611602;10.704955;2.390051
9.941074;12.183212;-0.69686073
8.483679;11.519685;-0.4660002
8.029986;11.640142;12.4923725
8.277285;11.85194;14.322946
11.4438505;11.407508;11.8023815
8.807698;7.3295546;-2.9044561
