x;y
6.849382;11.1503525
5.835495;13.859874
18.827358;6.4531446
17.542782;9.762398
16.140942;9.029116
18.645285;8.977581
15.58855;9.034126
4.307201;12.123407
-10.026517;12.45314
5.9556894;13.150641
15.464613;10.807265
19.097927;7.469555
15.12916;9.905833
-9.841015;12.108775
18.623005;8.965097
14.961639;9.941387
19.577215;8.804133
15.22487;6.803494
5.1217694;10.217244
2.7379994;9.575352
3.072677;9.2821045
6.284083;11.866562
17.891302;13.180483
3.0193586;8.857938
16.457376;12.277552
16.801342;7.271644
16.054337;10.747148
17.955582;8.216714
1.2740625;9.768596
5.2429123;10.087081
5.0114036;12.842941
17.696966;11.163206
3.0747876;8.862474
17.205887;11.601963
18.499855;7.511539
2.1822906;12.250702
5.3583694;12.260919
17.966448;13.08254
17.587534;12.650422
-9.251024;12.4053335
17.918015;6.7230387
5.5382004;13.583448
19.447834;7.419175
16.441486;12.279779
18.651445;11.359719
13.739972;6.8545585
17.219025;7.537714
17.784134;6.032382
1.0521679;9.766832
2.1454327;11.356377
5.822282;12.278387
17.821114;12.942403
1.124667;10.055553
16.06178;9.814872
18.570156;7.732726
4.5491343;12.979162
4.365941;13.457369
2.1795528;8.508375
16.611357;9.507177
1.7437255;8.895131
6.427049;10.9161
18.30709;6.6434135
3.3469844;10.329937
18.582804;12.419793
6.63725;11.113986
-9.757394;11.746386
17.280916;12.746573
14.807637;6.596559
3.5285559;9.083915
18.6908;8.602042
2.852348;9.811087
19.295118;7.2690883
16.240793;6.477906
15.810029;7.367629
5.187083;10.238365
17.870647;13.104894
16.021816;11.155445
3.3995583;10.971277
14.018522;6.912653
5.3787374;-4.0303335
19.438553;9.974564
6.296233;10.76792
-9.604226;11.774215
18.575426;12.486535
2.635499;11.400721
3.0333366;8.050793
18.258772;11.346329
15.629326;9.452511
6.585181;10.942287
19.475748;9.825547
4.993643;12.039483
5.632665;12.911005
1.8701235;9.718927
-9.525673;11.559526
-9.830219;11.98932
-10.138098;11.487137
15.964011;7.2305455
16.006626;6.650881
5.9901304;10.852619
17.526194;11.650844
18.783012;6.5448666
18.823242;7.7991443
3.155542;8.558462
-8.717525;11.205594
18.533308;11.221574
17.277885;11.083694
19.012209;6.5770693
15.059984;11.138706
5.980768;11.032504
17.370146;7.7104707
16.352737;7.4431148
3.1508443;9.691101
5.2028165;12.881541
2.1957302;8.537492
16.750074;12.064806
17.916903;11.3831215
-9.666643;11.975777
-9.853009;13.096923
3.8664913;9.678824
2.8771777;12.21622
16.974716;10.039912
-10.45174;11.969667
4.072248;9.052108
4.3552923;7.3456697
5.357687;13.030799
6.210191;10.534125
3.3076215;9.335648
5.6203036;12.399178
16.744534;11.229174
5.3412733;-4.1388416
5.831335;11.361707
4.128999;11.752004
17.909996;8.228828
17.230314;12.767971
16.73039;11.227707
2.0142956;7.916847
16.01822;10.465463
3.7006044;7.9449763
15.532178;10.276691
18.68009;6.721642
3.2428398;8.391792
5.468169;12.0203495
17.762959;6.4084034
18.021685;7.764812
14.5481825;9.543469
5.0720863;11.686377
0.9005574;10.576417
15.591932;9.286232
3.3501377;7.952304
17.541914;12.58371
4.9708905;11.529932
15.92925;11.573335
15.701593;9.239516
3.5147088;7.571547
16.669804;11.971334
16.612701;10.154294
-10.131537;11.466781
14.715296;9.593665
15.409661;6.6680036
8.248595;-3.5381587
4.247326;7.6807933
17.429203;7.238109
16.658041;7.39343
19.368574;8.041632
16.979008;5.9696765
2.8831232;9.230221
2.5947485;10.833479
6.453111;10.8746195
15.460792;7.126264
3.7159257;8.099383
5.9674897;12.46313
17.411285;9.813097
17.331902;9.963281
8.146239;-3.6572304
4.8439035;11.6717205
16.356071;11.911879
15.317515;10.935194
15.446848;9.07595
4.0721154;8.045787
1.7468122;10.659732
19.029953;8.996732
17.798637;10.1708145
2.4636512;10.659669
16.162945;6.6622314
-8.774791;11.248553
18.05243;10.528234
16.360968;11.10037
15.670637;9.454175
16.71885;12.146328
15.760814;10.672977
4.0392194;9.3728285
17.97389;5.8832617
6.136766;11.405758
16.697243;7.270669
18.45441;11.158657
1.8983233;11.471606
14.501858;9.930777
5.6833467;12.526618
18.345495;12.674148
14.261235;9.894188
18.615229;7.999975
15.982227;9.273174
18.644032;9.220858
2.287432;11.645505
17.44791;5.6443195
6.1296067;13.463685
14.396407;6.8189535
18.373928;11.381677
16.861403;5.910711
4.672324;11.906926
14.017989;7.44489
16.185995;7.522915
3.002697;8.27629
16.760525;11.404861
2.750966;7.8713565
16.482151;6.194652
2.929471;11.644546
17.040295;12.288856
5.2399974;13.227168
15.71529;11.391969
14.200445;9.083962
16.089155;10.448866
18.069584;8.302462
-8.857677;11.097156
17.758135;11.664761
17.221336;6.342873
5.550762;-3.9767377
18.457077;12.668667
1.6369188;11.092593
2.445838;7.844927
18.702557;7.168458
5.7752876;13.368034
-9.609241;12.330234
1.6855111;11.190621
-9.8466425;12.464174
6.2386155;11.159081
15.355704;6.6243916
19.40672;8.301569
3.818105;8.268553
14.987466;11.153056
5.154794;11.822078
17.499132;10.460269
4.2765703;9.030687
15.728874;9.69905
1.7437444;11.867877
3.9431903;9.612371
17.90353;12.940972
18.61174;12.483295
6.1831374;10.35143
18.822271;9.17945
13.794334;6.92857
17.371672;6.323606
2.852223;8.563037
4.8633914;11.733107
2.481512;12.367575
15.942926;11.38081
6.134481;12.684351
5.58675;12.3833475
4.0296354;8.727188
17.58954;11.075481
-10.4244;11.747125
-9.487132;12.390892
14.892736;6.883365
-9.400757;12.541164
3.1198387;11.126385
2.1090612;10.228961
