x;y
0.0703628;-0.199955
-0.133956;0.205533
0.0250038;0.213747
0.0121687;-0.137109
-0.208031;0.142704
0.128805;-0.871043
0.0059111;0.246622
0.411772;0.567545
0.154638;-0.601614
-0.0565746;0.219883
-0.210179;0.282192
-0.0303697;-0.367841
-0.160448;0.188315
-0.0130783;-0.302287
0.013398;0.104471
-0.11605;0.199623
-0.224928;0.251745
0.235748;-0.777232
0.1943;-0.256288
-0.297125;0.0829835
0.0500383;0.461466
0.641533;-0.0722606
-0.110286;-0.780779
-0.0429114;0.236917
0.475261;0.510834
0.136309;-0.923071
-0.232697;0.00350534
-0.0997714;0.355579
0.0375768;-0.537277
0.0312909;-0.0440782
0.0454026;0.325132
-0.0666714;-0.806081
-0.103552;0.0305868
-0.0271743;-0.159451
-0.192646;0.159873
0.387245;0.620636
0.545427;0.465079
0.269522;0.74428
-0.0547244;0.151577
-0.063756;0.108231
-0.0166219;0.261141
0.0424867;-0.488922
-0.0206312;-0.215078
-0.0735832;-0.251676
-0.122465;0.299915
0.396442;0.685508
0.0293705;-0.604632
0.0232716;-0.411523
0.0288439;-0.209622
0.15309;-0.115194
-0.140525;0.203659
-0.0108115;-0.0458656
-0.087161;0.0556111
-0.198623;0.191453
-0.124739;-0.102579
-0.119273;0.26737
0.118531;-0.420428
0.00104181;-0.535418
0.548816;0.475629
0.702109;0.225406
-0.262929;0.23959
-0.333276;-0.159175
0.00340879;-0.203177
0.435812;0.504692
-0.186026;0.337651
-0.106652;0.591329
-0.103069;-0.121245
0.00966969;0.335338
-0.158977;0.252994
-0.127873;-0.0678106
0.0497285;-0.333217
0.780775;-0.170589
-0.0794425;0.153829
-0.238246;0.033211
-0.118766;-0.248241
0.198683;-0.602932
0.0721986;-0.356789
-0.0324821;0.359379
0.130993;-0.193669
-0.0515018;0.407041
0.0263967;-0.125399
0.00206691;-0.180794
-0.133508;0.315885
-0.112238;0.0124744
-0.0244086;-0.063785
0.100131;-0.188082
0.0737593;0.0544039
-0.114077;0.0327662
-0.11271;-0.00234216
-0.0570307;-0.0327789
-0.105196;0.381924
0.156913;-0.636406
-0.205886;0.142608
0.113413;-0.28603
-0.0213321;-0.00817302
-0.109362;0.426382
0.0766047;-0.418509
-0.0367678;-0.191831
0.243393;0.789843
0.0649733;0.0584603
0.124293;0.170472
0.240862;0.474045
-0.10316;0.464454
-0.0545824;-0.056823
-0.0641651;0.0433307
-0.0131693;-0.364019
0.0264654;0.0123154
-0.161818;0.244074
-0.185735;0.0168445
-0.0380917;0.260765
-0.0153844;0.173127
-0.239001;0.438089
-0.0779825;-0.0454029
0.0343556;-0.291277
0.0747537;-0.307423
0.198009;0.344151
-0.178882;0.0526849
0.0976141;-0.364203
0.0555917;-0.153259
-0.0310644;-0.0030076
-0.08129;0.421584
-0.160967;0.000950575
-0.0863842;-0.440614
-0.0351976;-0.315431
-0.211773;0.0623897
0.00615672;0.112216
0.427299;0.562486
-0.0862265;-0.445299
