x;y;z
0.13587488;0.20398068;-0.95028096
0.56687933;0.14875776;2.1250362
-0.017656531;0.22240388;-0.57206666
1.475201;0.4964705;0.025601609
-0.1829903;0.032454364;0.12086494
2.0538816;1.2169356;0.64815336
2.113588;0.752689;-0.55037284
2.3056278;0.75681025;-0.36113518
1.7718805;0.8046541;-1.0376863
1.5753021;0.51382345;-0.45010382
1.6185321;1.6509094;0.27799454
1.7303032;1.958853;-0.043267637
-0.15827028;0.6082895;-0.15682963
2.2012982;0.3455096;-0.0030633826
1.3533523;2.8253834;1.0903181
-0.24798281;0.93576616;-0.46830216
0.32823008;0.13720454;-1.1351953
0.24469288;0.0725412;-1.1136626
0.7577688;-0.49566776;0.75401074
-0.0428132;1.8210034;-0.12607852
-0.1783762;0.33766377;-1.0705277
-0.1360435;0.26253787;-0.8054697
0.12818919;0.082923986;-0.7010265
2.0284562;0.85890025;0.43168253
1.4520291;1.8184196;-0.107175976
2.3174264;1.0515356;-1.1962138
0.26194882;0.043927126;-1.2104836
1.5459778;2.6441128;0.2189579
1.9602071;0.57864076;-0.2732577
-1.1007528;1.2621506;1.3801557
0.22109602;0.2817789;-1.3320096
-0.051496845;0.34882745;-0.99633163
0.06268187;0.14515615;-0.7512337
-0.21391399;0.40611708;-1.1876814
-0.019325662;0.3508227;-0.84719193
2.5570276;3.1339848;1.0597359
1.2349075;0.5011237;-0.4844124
-0.25682583;1.6723387;-0.019843834
2.3222399;0.7307541;-0.39542767
0.097403824;0.59381336;-1.4065938
1.8119938;1.7393005;-0.4001394
-0.1631578;0.24785712;-0.5688631
-0.15671888;1.0823338;-0.47688976
-0.072662726;0.18653712;-2.0359287
-0.21544833;0.18121307;-0.5246077
2.1805904;1.0462675;-0.8360355
0.23109414;0.21320364;-0.8188056
3.4194732;1.3594103;-1.068991
1.5270722;3.1737192;0.08456156
1.232417;0.509645;-0.5164997
-0.48533884;0.89281636;-0.61342454
2.0479107;-0.12173406;0.057281554
0.13821347;0.4052171;-1.5271165
