x;y;z
0.0139106;-0.00864627;-0.119091
-0.00281361;0.0116854;0.0126769
-0.0031793;0.00494785;0.00534643
-0.00365361;0.0154042;-0.0511931
0.00139982;-0.000116201;0.0233387
-0.00394398;0.0129358;0.00985972
0.00100841;0.00129282;-0.00808833
-0.00157714;0.0111802;-0.0242767
-0.000476322;0.00884196;0.0172071
-0.00232779;-0.000398779;0.0387979
-0.00114703;0.00215437;0.0145757
-0.00108365;0.00946014;0.00715455
-0.000247598;-0.00121397;0.0682572
0.000845573;0.000928869;0.0144581
0.00245664;0.00556362;0.0386176
-0.00132558;0.009524;-0.0111802
0.0135119;-0.028435;-0.0882227
0.00358206;-0.00247444;0.0605103
-0.00317671;0.0133275;-0.0149627
0.00319702;-0.000582195;0.0190746
0.0154886;-0.0548122;-0.0618748
0.000184827;0.00707808;-0.00296375
-0.000790605;0.00868286;0.00702763
0.000162085;0.000185873;-0.00312029
-0.000890168;0.00744103;-0.0349421
0.00381856;0.00330915;0.0408683
-0.000233029;0.00103932;0.0276702
-0.000238766;0.00615984;0.0356592
-0.00281554;0.00286271;-0.000721229
-0.00254338;0.00305624;0.0460402
-0.00155814;-0.00266612;0.000367475
-0.00338204;0.00892225;0.0121177
0.0158943;-0.0424329;-0.0725525
0.000890179;0.00657165;0.0228001
0.000698337;0.00273174;0.0279201
-0.00142635;0.00056765;0.0384551
-0.000380507;-0.00141719;0.0019908
0.0144594;-0.0294279;-0.0768866
-0.00335539;0.000535766;0.0467277
-0.00287518;0.000850217;0.00651186
0.000918202;-0.00467116;0.0759305
-0.00144901;0.0046789;-0.0311994
-0.00429337;0.0143378;-0.0420112
-0.00443875;0.0133005;-0.0194543
-0.00356592;0.0136185;-0.027557
-0.000522808;0.00711052;-0.00881017
0.0138183;-0.021542;0.139534
-0.00396876;0.012001;-0.034711
0.00570288;-0.00462297;0.0613685
-0.00189341;0.00393777;-0.00231571
0.000284195;0.000918602;0.0290309
-0.00296777;0.000924179;0.0327288
-0.00340984;0.0115187;-0.0110711
-0.00122766;0.00709883;-0.0494951
-0.00112105;0.0101919;0.0147394
0.00264105;-0.00323011;0.0685416
-0.00340823;0.0109382;-0.0393418
0.00246867;-0.00545714;0.0655774
-0.00145864;0.000703505;0.0285673
-0.00173093;0.0127815;0.0273726
-0.00202034;0.0110429;0.00631886
0.012622;-0.0168986;0.13253
0.00719618;-0.0115148;0.101391
0.0178761;-0.0442196;-0.0488422
-0.00238899;0.00410622;0.0119578
0.00198448;0.00665857;0.042266
0.000833382;0.000494429;0.0461744
0.00504777;-0.00810673;0.0633421
0.00437562;-0.0071201;0.0973876
-0.00208208;0.00035797;-0.0826387
-0.00194808;0.00284654;0.00863844
-0.00198601;0.00247329;0.00970149
-0.000797927;0.00706416;-0.00890208
-0.0036372;0.0120539;0.00320924
-0.000536047;0.00782912;0.0039923
0.0119743;-0.0149511;0.129432
-0.00194189;0.0109393;-0.00801145
-0.00138054;0.000264064;0.0240818
-0.00128974;0.00486804;0.0326368
-0.000721505;0.0100987;0.032244
0.00396018;0.00485017;0.0696688
-0.00494042;0.0137769;-0.0322551
0.000455988;-0.00250274;0.0265986
-0.00229428;0.0119999;-0.0255018
0.00120182;0.00661166;-0.0283643
-0.000514087;0.00167558;0.0191776
-0.0033103;0.0124929;-0.0176457
0.0100659;-0.0153156;0.134814
0.00148802;0.00830573;-0.0316956
0.012311;-0.0216047;-0.0892669
0.00812542;-0.00950732;0.0926307
-0.00447371;0.00714189;-0.0283631
-0.00446875;0.0141324;-0.0351334
-0.000466619;-0.000200547;0.0527561
-0.00200111;0.0120657;-0.0239508
0.00130207;0.00161332;0.0434922
-0.00169922;0.00295643;-0.0148361
-0.00671504;0.00641601;-0.0260178
-0.0054978;0.0145766;-0.0311643
0.0132836;-0.0173617;0.125213
0.00448706;-0.00629995;0.0370255
-0.00598279;0.0150161;-0.00876288
-0.00202047;0.00213083;-0.0620483
-0.0359785;-0.0815576;-0.0027413
0.00133653;-0.00738795;0.115636
-0.00111279;0.00886594;-0.030871
0.0119686;-0.0245513;-0.0829419
0.0103488;-0.0180148;0.144059
-0.00354054;0.0128803;0.00140076
-0.00254909;0.010016;-0.0459489
0.00259419;-0.00545974;0.079196
-0.00061765;0.00159496;0.00535798
0.00179578;0.00538998;-0.0441245
0.00427281;-0.00777288;0.120298
-0.000787657;0.00891178;-0.00341002
0.00179831;0.00498631;0.0243014
-0.00368761;0.0131498;-0.019301
0.0120055;-0.0189925;-0.0952268
0.0129109;-0.0320182;-0.0799217
0.00948958;-0.0140279;-0.107012
-0.00411516;0.00461579;-0.0205145
-0.00377431;0.00641802;-0.0139825
0.000902348;0.00699456;-0.0357654
0.00362925;-0.00363515;0.0721583
-0.000644986;0.00265487;0.0312582
-0.00194094;0.00290446;0.0359594
-0.00276912;0.0108784;-0.0385324
0.0141208;-0.0234467;-0.108187
0.00445289;-0.00554;0.0888812
0.00149649;-0.00226594;0.0600056
0.000994394;0.00112722;0.0302733
0.00298379;-0.001981;0.0167775
-0.00210031;0.0124271;-0.0254327
-0.00231352;0.00170918;0.00550147
-0.0042676;0.00581966;-0.00719211
-0.00402005;0.0130652;-0.0236732
-0.000535598;0.00909133;0.0157902
-0.00285431;0.0111058;-0.0339813
0.0028195;-0.00619019;0.062875
0.00482533;-0.00246358;0.0790641
0.0149514;-0.0334964;-0.0843821
0.0210615;-0.0531438;-0.0601272
-0.00487848;0.0150429;-0.0294865
-0.00432958;0.01346;0.0240743
-0.000226485;0.000770079;0.0281604
0.0104363;-0.0272113;-0.0836441
-0.00321518;0.0123882;-0.0431912
-0.00267945;0.0099582;-0.0752836
-0.000518747;0.00802215;0.0184768
-0.000492183;0.00572973;-0.0456921
-0.00321069;0.0119809;-0.0321232
-0.000269112;0.0101239;0.0112352
0.0021218;-0.00148134;0.0484084
-0.0462604;-0.100718;0.0137752
-0.00130767;0.0094653;-0.0197845
-0.0044287;0.0127868;-0.00305454
-0.00751054;0.000581799;0.0356657
0.00712743;-0.0130888;0.0943377
