DY
3047
14
HomeValue2000;Income1999;Poverty1999;PopDensity2000;PopChange;Prcnt65Plus;Below18;PrcntFemale2000;PrcntHSgrads2000;PrcntCollege2000;Unemployed;PrcntBelow18;LifeExpectancy;FarmAcres
68;142500;17139;18.2;116320;1.4;7;33425;50.1;83.8;29.9;4003;28.7;76.9;6209424;0
69;80900;12139;23;33489;-0.3;11.9;10077;47.1;75.6;11.8;905;30.1;75.9;1244760;0
70;62700;15814;9.9;8547;-2.9;9.9;2712;47.8;82.5;12.2;365;31.7;75.9;29406;0
71;86500;14916;19.6;19715;0.2;25.8;4159;48.7;69.3;8.7;554;21.1;77.3;278854;0
72;129200;22251;11.7;3072149;4;11.7;828003;50;82.5;25.9;44687;27;76.6;708656;0
73;95300;16788;13.9;155032;4.4;20.5;35860;50.3;77.5;9.9;2905;23.1;73.5;997171;0
74;77000;11609;29.5;97470;2.7;10;34527;50.3;71.2;12.3;4211;35.4;73.2;3902552;0
75;114600;19785;14.7;843746;2.3;14.2;207896;51.1;83.4;26.7;12066;24.6;76.1;2913607;0
76;93900;16025;16.9;179727;5.1;16.2;45081;46.7;72.7;11.9;3324;25.1;74.3;1303431;0
77;94700;13278;24.5;38381;3.1;10.7;12913;52.2;60.7;15.2;2286;33.6;78.4;265285;0
78;138000;19727;11.9;167517;4.8;22;35403;51;84.7;21.1;2293;21.1;76.6;771632;0
79;85100;14802;19.2;160026;3.1;16.5;46271;49.5;65.8;11.8;19957;28.9;77.3;237742;0
80;56800;16401;17.8;20749;-0.8;16.2;5150;52.4;72.4;12.2;521;24.8;73.5;426363;0
81;55700;15702;17.5;24209;-1;13.8;6491;51.7;72.5;10.1;871;26.8;73.9;165826;0
82;84500;16859;11.1;38386;0.5;26.8;7281;52;77.5;12.8;543;19;76;105323;0
83;94800;19377;10.1;153406;4.2;14.3;40821;50.7;80.4;20.3;1474;26.6;76.9;296543;0
84;75300;16175;14.8;33948;1.8;16.7;8123;51.8;76.8;12.7;801;23.9;76.1;257698;0
85;45000;13895;26.3;12600;-0.3;17.5;2968;50.6;66.6;11.9;391;23.6;73.1;28900;0
86;41700;15555;16.5;5744;-1.3;16;1415;51.9;68.7;7.3;205;24.6;73.1;17622;0
87;83900;16003;15.5;25357;1.6;15.8;6080;50.7;71.8;13.8;515;24;76.1;242482;0
88;47300;12825;28.6;14117;-1.2;15.4;3876;51.5;64.2;11.7;569;27.5;72.4;287962;0
89;67900;14533;19.1;23546;-0.1;14.6;5104;51.9;75.3;19.8;338;21.7;75.1;96301;0
90;39600;14512;17.5;17609;-1.4;19.4;4068;51.7;60.6;7.4;509;23.1;74.4;323578;0
91;87400;17250;13.1;24046;0.8;21.1;5122;51.6;74.8;13.9;365;21.3;76.1;117435;0
92;48900;15362;15.2;8571;0.4;13.6;2242;51.2;73.1;10;208;26.2;73.1;32824;0
93;55700;15322;21.1;25603;-1.4;15.9;6420;52.4;74.1;16.8;685;25.1;73.4;57683;0
94;59400;16056;16.1;20336;0.3;16.1;5169;51.5;73.2;11.5;623;25.4;74;162732;0
95;79200;17091;15.4;82148;1;11.8;19809;51.6;77.3;20.9;1371;24.1;75.1;363253;0
96;71600;15015;14.2;53247;1.9;11.3;15032;50.6;71.5;9.7;858;28.2;74.6;138811;0
97;70500;14424;25.3;50866;0.5;9.9;15834;52.4;69.2;12.8;972;31.1;70.7;319824;0
98;61500;15726;19.9;19526;0.4;13.7;5435;51.5;68.3;9.9;520;27.8;72.6;343634;0
99;38700;14610;18.9;9210;-1.6;17;2410;51.5;66.8;9.6;273;26.2;73.6;23228;0
100;46700;13446;28.9;15341;-1.9;14.2;4428;53.3;65;11.1;649;28.9;73.4;275954;0
101;60100;16264;18.2;18723;0.8;12.8;4832;51.5;73.1;17.3;653;25.8;72.4;122552;0
102;92900;17988;12.5;86014;2.3;9.5;22006;51.2;83.3;25.2;1301;25.6;76.1;211467;0
103;58500;14616;15.2;17771;0.5;15.8;4591;50.5;71.1;11;259;25.8;74.6;171391;0
104;54500;15712;16.3;11642;0.1;20.2;2650;51;72.2;10.5;160;22.8;75.7;227794;0
105;85900;18631;14.6;88068;1.8;21.2;18759;51.4;78.3;18;1585;21.3;74.2;43471;0
106;70700;17547;10.2;16464;1.5;12.2;4268;50.4;77.2;11;319;25.9;73.6;32519;0
107;66800;16403;13.3;37331;1.2;13.9;9411;51.2;72.1;10.9;878;25.2;74.8;262827;0
108;51400;14103;20.3;23587;-0.6;14.1;6446;51.6;69.2;11;628;27.3;73.8;189435;0
109;63100;15216;14;30353;0.4;15.8;7608;51.2;73.3;11.2;523;25.1;74.5;75305;0
110;55600;15586;15.5;14300;-0.4;15.1;3840;51.2;70.7;11.6;358;26.9;74.3;108020;0
111;64300;16163;13;34233;0.5;14.5;8396;50.9;75.5;13.7;789;24.5;75.1;283126;0
112;57800;14397;17.2;13249;-0.3;21.1;2768;49.3;73.3;11.7;175;20.9;75.7;187863;0
113;45300;14564;17.4;18418;-3.3;16.5;4081;52.3;66;10.3;751;22.2;72.6;335099;0
114;57600;15417;20.5;84278;-0.8;12.9;22161;51.1;74.8;15.7;2709;26.3;72.9;288655;0
115;59300;15097;16.4;22781;0.1;14.8;5733;50.3;67.6;13.1;380;25.2;75;114579;0
116;33600;14128;23.2;8559;-2.6;17.7;2174;51.6;65.3;9.5;252;25.4;73.8;97701;0
117;45300;13785;18.4;17774;-0.5;17.4;4258;51.6;63.3;8.5;472;24;74.5;293576;0
118;42800;10983;29.9;12580;-1.7;14;3277;47.3;56.2;7.3;335;26;71.8;279643;0
119;52200;12479;19.5;14492;-1.2;11.9;3215;41.3;65;7.6;273;22.2;73.4;184232;0
120;55300;15899;15.4;13628;-1.1;15.1;3430;51.4;73.4;9.9;301;25.2;74.4;146344;0
121;54000;14527;15.4;22486;-0.5;16;5824;50.4;69.8;9.4;492;25.9;74.5;199294;0
122;85500;17397;10.5;52828;2.9;10.4;15188;50.8;77.6;14.6;635;28.7;74.7;390705;0
123;62300;14736;18.6;14243;1.6;14.4;3817;50.1;67.8;10.1;228;26.8;74.6;282114;0
124;73200;14588;15.2;16140;0.8;20;3571;50.5;76;10.4;192;22.1;75.3;139553;0
125;63700;16444;19.3;40443;0.7;13.1;10734;51.3;74.3;12.5;750;26.5;73.1;154096;0
126;56200;13978;23;51979;-1.7;12.2;15407;52.1;64.7;11.3;2859;29.6;71.9;489158;0
127;42300;13096;27.5;10254;-2.8;17.3;2862;53.1;63.8;8.4;275;27.9;71.8;235812;0
128;54000;14668;17;9245;0;18.9;2174;51;69.8;8.8;141;23.5;74.8;74260;0
129;41200;14184;22.8;9955;-0.9;16.1;2509;51.5;69.1;10.7;291;25.2;72.9;72810;0
130;50100;13788;20.4;8608;-1;14.8;2142;49.4;70.2;11.8;171;24.9;75;108680;0
131;50200;15118;19.5;28790;-2.2;16.9;7453;52.7;73.5;12.7;990;25.9;72.9;29449;0
132;58700;16216;14;10209;1.7;14.8;2586;50.4;73.8;11.1;216;25.3;74;72711;0
133;46900;12288;32.7;26445;-2.6;13.9;8513;54.1;62.2;12.4;723;32.2;69.4;361185;0
134;49600;15385;16.8;11303;-0.7;17;2816;50.7;68.8;10.1;228;24.9;74.3;73211;0
135;49500;13087;21.2;25614;-0.1;14.3;6684;51.4;62;6.3;627;26.1;71.8;401266;0
136;57100;14063;18.2;20229;0;17;5174;50.8;72.6;10.9;349;25.6;74.8;133203;0
137;71100;15918;15.2;54469;0.5;12.7;13900;50.9;77.4;19;1160;25.5;76.3;152100;0
138;55600;15907;15.5;9539;-0.1;17.3;2284;50.8;68.2;9;218;23.9;71.8;301851;0
139;85300;21466;13.3;361474;0.1;11.5;91210;52.1;84.4;28.1;6467;25.2;73.9;110830;0
140;50600;14502;15.3;18195;0.3;17;4479;51;69.2;10.6;525;24.6;74.4;265771;0
141;56000;12483;27.5;29329;-1.3;11.9;8193;48.6;65.1;9.6;1095;27.9;71;289882;0
142;93700;19214;7.2;83529;2.6;12.5;21276;50.5;82.3;16.4;1055;25.5;76.2;50225;0
143;48000;13609;18.2;10996;-0.2;14.7;2919;49.5;65.4;8.4;129;26.5;74.8;115733;0
144;45600;12536;23.8;8261;-0.9;19.2;1873;50.5;68;8.4;216;22.7;74.8;188275;0
145;73300;18424;13.6;115071;0.5;13;29937;51.2;76.6;16.6;1859;26;74.9;114950;0
146;51700;14122;19.2;15757;-1.2;13.2;4446;50.2;64.6;9.2;303;28.2;74.4;133466;0
147;51900;14143;18.2;17119;1.1;23.6;3747;52;72.9;10.3;309;21.9;74.5;173598;0
148;64200;14134;18.9;11499;0.8;18.6;2557;50.8;68;9.8;245;22.2;75.3;142453;0
149;55400;16063;18.7;45629;-1;16.1;11832;52.2;74.5;14.9;1231;25.9;72.6;34150;0
150;63700;16603;15.4;16192;1;23.3;3487;50.8;71.6;11.5;346;21.5;76.1;132417;0
151;90100;17347;14.6;157715;2.7;9.9;39492;49.9;79.5;24.5;1935;25;75.5;334667;0
152;72100;15890;14;67165;2.1;13.8;16376;51.2;72.9;15.5;1465;24.4;75.3;394294;0
153;35500;13269;27;8741;-0.6;16.7;2274;52.8;60.6;8;395;26;71.8;284731;0
154;60600;15383;15.4;21139;-0.3;15;5451;50.1;64.1;10.9;363;25.8;74.8;188480;0
155;303100;26680;11;1443741;1;10.2;354572;50.9;82.4;34.9;24852;24.6;75.3;258070;0
156;184200;24431;19.5;1208;-1.3;9.9;276;47.4;88.3;28.2;45;22.8;75.7;3942;0
157;153600;22412;9.2;35100;3.3;18;7223;44.9;84;16.6;628;20.6;77.9;204398;0
158;129800;17517;19.8;203171;1.4;15.8;48767;51;82.3;21.8;5830;24;76;404166;0
159;156900;21420;11.8;40554;3.6;18.2;9248;50.4;85.7;17.1;1012;22.8;75.7;245116;0
160;107500;14730;16.1;18804;2.5;11.4;5937;49.2;64;10.6;1395;31.6;75.2;430958;0
161;267800;30615;7.6;948816;2.8;11.3;251794;51.2;86.9;35;14820;26.5;76.8;147859;0
162;121100;14573;20.2;27507;0.2;12.5;6896;44.8;71.6;11;791;25.1;73.9;13303;0
